id,name,url,note
0999852,"26a Group 17: The biological role of the halogens","https://coursecast-chatter.s3.us-west-2.amazonaws.com/Video-a61412b4-fcbb-4ea9-a704-25e1d6878512_processed.mp4",
0999850,"Supreme Court","https://coursecast-chatter.s3.us-west-2.amazonaws.com/Video-60d857d4-2f4d-46eb-84ef-63800aa1245a_processed.mp4",
0999841,"Section 10.6","https://coursecast-chatter.s3.us-west-2.amazonaws.com/Video-4deb7467-a656-4076-a114-ffb9672ac0aa_processed.mp4",
0999840,"Lecture 23 Brasilia","https://coursecast-chatter.s3.us-west-2.amazonaws.com/Video-670fa5b5-d92b-4eb8-9d54-da85ba19d4a6_processed.mp4",
0999837,"WIN_20200414_15_56_30_Pro","https://coursecast-chatter.s3.us-west-2.amazonaws.com/Video-217698fd-abba-4a56-b9c5-80a17865ee85_processed.mp4",
0999834,"[Original Copy]Court Procedures","https://coursecast-chatter.s3.us-west-2.amazonaws.com/Video-77838e60-8687-408b-8e44-9a26deac58f9_processed.mp4",
0999833,"Court Procedures and Decision Making","https://coursecast-chatter.s3.us-west-2.amazonaws.com/Video-77838e60-8687-408b-8e44-9a26deac58f9_processed.mp4",
0999815,"Video 4.5 MS Overview","https://coursecast-chatter.s3.us-west-2.amazonaws.com/Video-93878ad0-3677-4eb6-8b62-a78a9c5339f4_processed.mp4",
0999812,"Modes of Interpretation Part 3","https://coursecast-chatter.s3.us-west-2.amazonaws.com/Video-d38af3c4-3aec-4999-9be0-84a44a7f561e_processed.mp4",
0999808,"HWS Tenor - Part III","https://coursecast-chatter.s3.us-west-2.amazonaws.com/Video-535d9a65-8017-49e1-ab87-cd2ec8d9ea08_processed.mp4",
0999800,"Christine Jones","https://coursecast-chatter.s3.us-west-2.amazonaws.com/Video-39c1e6bc-649c-4717-8cc0-f969009b68fd_processed.mp4",
0999799,"Importance of Christianity in the Early ADs","https://coursecast-chatter.s3.us-west-2.amazonaws.com/Video-47347339-b15c-4129-b380-62ef0104ccd3_processed.mp4",
0999798,"HWS Soprano - Part III","https://coursecast-chatter.s3.us-west-2.amazonaws.com/Video-bbac4fe9-4a5b-421b-b83d-3656ea66cb80_processed.mp4",
0999792,"zoom_0","https://coursecast-chatter.s3.us-west-2.amazonaws.com/Video-b680f18b-8e4c-4c02-b95b-c8d2ad3285af_processed.mp4",
0999790,"17-Emaki-b-Mt Shigi","https://coursecast-chatter.s3.us-west-2.amazonaws.com/Video-963bf375-8b0d-49a1-9d00-2c7f3ac08497_processed.mp4",
0999789,"Court Procedures and Decision Making","https://coursecast-chatter.s3.us-west-2.amazonaws.com/Video-77838e60-8687-408b-8e44-9a26deac58f9_processed.mp4",
0999787,"HWS Bass - Part III","https://coursecast-chatter.s3.us-west-2.amazonaws.com/Video-36672f06-2cab-4954-9233-31aa691ab81b_processed.mp4",
0999786,"Persuasion Speech - Perseverance","https://coursecast-chatter.s3.us-west-2.amazonaws.com/Video-7684d577-20c2-4864-880c-7b2571793bc0_processed.mp4",
0999779,"Week 3 Intro Video","https://coursecast-chatter.s3.us-west-2.amazonaws.com/Video-e05080d5-1045-4b48-a3c4-b9e58ce27e1c_processed.mp4",
0999777,"16-Emaki-a-Genji","https://coursecast-chatter.s3.us-west-2.amazonaws.com/Video-43f2652d-92c4-40de-ad52-b9e159ec5d70_processed.mp4",
0999776,"Enterprise Analysis and Case Study # 8 Benchmarking","https://coursecast-chatter.s3.us-west-2.amazonaws.com/Video-a0abeabc-ee76-4183-bf50-b947cb2a9e2f_processed.mp4",
0999775,"[Original Copy]Interp 3","https://coursecast-chatter.s3.us-west-2.amazonaws.com/Video-d38af3c4-3aec-4999-9be0-84a44a7f561e_processed.mp4",
0999774,"Modes of Interpretation Part 3","https://coursecast-chatter.s3.us-west-2.amazonaws.com/Video-d38af3c4-3aec-4999-9be0-84a44a7f561e_processed.mp4",
0999773,"Generalized Coordinates and Velocities Example","https://coursecast-chatter.s3.us-west-2.amazonaws.com/Video-890db6eb-fccb-4267-89b2-66b127832398_processed.mp4",
0999770,"Frank_Piazza San Marco","https://coursecast-chatter.s3.us-west-2.amazonaws.com/Video-a864f347-bac4-4f75-a84f-cb91827723d8_processed.mp4",
0999757,"Generalized Velocities","https://coursecast-chatter.s3.us-west-2.amazonaws.com/Video-cb3b6a43-68db-44ce-9761-db6c451fa6dc_processed.mp4",
0999753,"Modes of Interpretation Part 2","https://coursecast-chatter.s3.us-west-2.amazonaws.com/Video-99ee7e29-4fd6-48ca-a39b-ac538bb28c0f_processed.mp4",
0999748,"Generalized Coordinates and Degrees of Freedom","https://coursecast-chatter.s3.us-west-2.amazonaws.com/Video-44b5322a-92f5-41bf-903c-5de5749b6e96_processed.mp4",
